split,date,event_id,fight_id,label_method,label_finish_round,label_total_fight_seconds,label_time_format,scheduled_rounds,schedule_basis,over_3_5,finish_before_round_4,decision,explicit_schedule
development,2016-09-03,2b4faacc16d66898,c5c1deb1607f69b4,U-DEC,3,900.0,,3,inferred_from_decision_duration,False,True,True,False
development,2016-09-03,2b4faacc16d66898,d38cd293a0c3fdfd,U-DEC,3,900.0,,3,inferred_from_decision_duration,False,True,True,False
development,2016-09-03,2b4faacc16d66898,f24144fbe9e32c10,U-DEC,3,900.0,,3,inferred_from_decision_duration,False,True,True,False
development,2016-09-03,2b4faacc16d66898,bd887c173d3050bf,KO/TKO,3,766.0,,3,assumed_three_round_early_finish,False,True,False,False
development,2016-09-03,2b4faacc16d66898,69ecd4aa5a550f7b,U-DEC,3,900.0,,3,inferred_from_decision_duration,False,True,True,False
development,2016-09-03,2b4faacc16d66898,d6389fa434e86916,S-DEC,3,900.0,,3,inferred_from_decision_duration,False,True,True,False
development,2016-09-03,2b4faacc16d66898,31dd8b5d6444f19b,U-DEC,3,900.0,,3,inferred_from_decision_duration,False,True,True,False
development,2016-09-03,2b4faacc16d66898,5237736e6b37c609,KO/TKO,2,426.0,,3,assumed_three_round_early_finish,False,True,False,False
development,2016-09-03,2b4faacc16d66898,0549b655619774c5,U-DEC,3,900.0,,3,inferred_from_decision_duration,False,True,True,False
development,2016-09-03,2b4faacc16d66898,a3b972117a3998ee,SUB,3,773.0,,3,assumed_three_round_early_finish,False,True,False,False
development,2016-09-10,2dc7f1762dc0a7ef,1c85f793ea4f9caa,SUB,2,349.0,,3,assumed_three_round_early_finish,False,True,False,False
development,2016-09-10,2dc7f1762dc0a7ef,5d5abb5dade718de,KO/TKO,1,105.0,,3,assumed_three_round_early_finish,False,True,False,False
development,2016-09-10,2dc7f1762dc0a7ef,9b1386a28b81bcd5,KO/TKO,2,557.0,,3,assumed_three_round_early_finish,False,True,False,False
development,2016-09-10,2dc7f1762dc0a7ef,c8ca99d1adc5448d,S-DEC,3,900.0,,3,inferred_from_decision_duration,False,True,True,False
development,2016-09-10,2dc7f1762dc0a7ef,e9ffcf05270a320a,S-DEC,3,900.0,,3,inferred_from_decision_duration,False,True,True,False
development,2016-09-10,2dc7f1762dc0a7ef,52bc6927e80aca5d,SUB,1,278.0,,3,assumed_three_round_early_finish,False,True,False,False
development,2016-09-10,2dc7f1762dc0a7ef,971d9fa5947a4bb7,U-DEC,3,900.0,,3,inferred_from_decision_duration,False,True,True,False
development,2016-09-10,2dc7f1762dc0a7ef,26e6a2705a1e9e72,SUB,1,134.0,,3,assumed_three_round_early_finish,False,True,False,False
development,2016-09-10,2dc7f1762dc0a7ef,409bcfacb259999a,U-DEC,3,900.0,,3,inferred_from_decision_duration,False,True,True,False
development,2016-09-10,2dc7f1762dc0a7ef,19df0d0cb1269fa7,KO/TKO,1,267.0,,3,assumed_three_round_early_finish,False,True,False,False
development,2016-09-17,d6455cb4bee503ce,30b33d032605c885,SUB,3,618.0,,3,assumed_three_round_early_finish,False,True,False,False
development,2016-09-17,d6455cb4bee503ce,187681b2843174b5,U-DEC,3,900.0,,3,inferred_from_decision_duration,False,True,True,False
development,2016-09-17,d6455cb4bee503ce,c87d2569da8d4305,SUB,3,886.0,,3,assumed_three_round_early_finish,False,True,False,False
development,2016-09-17,d6455cb4bee503ce,4df1d3183929d021,KO/TKO,3,859.0,,3,assumed_three_round_early_finish,False,True,False,False
development,2016-09-17,d6455cb4bee503ce,4f6f7f1ad8954bb6,SUB,2,380.0,,3,assumed_three_round_early_finish,False,True,False,False
development,2016-09-17,d6455cb4bee503ce,00b7497b02b3b2bb,SUB,1,19.0,,3,assumed_three_round_early_finish,False,True,False,False
development,2016-09-17,d6455cb4bee503ce,144b0c1dd6c909f3,U-DEC,3,900.0,,3,inferred_from_decision_duration,False,True,True,False
development,2016-09-17,d6455cb4bee503ce,054f1423ba7c121e,S-DEC,3,900.0,,3,inferred_from_decision_duration,False,True,True,False
development,2016-09-17,d6455cb4bee503ce,0596fc5eba5c1fe0,U-DEC,3,900.0,,3,inferred_from_decision_duration,False,True,True,False
development,2016-09-17,d6455cb4bee503ce,f4cdc944e27c2cd2,KO/TKO,1,101.0,,3,assumed_three_round_early_finish,False,True,False,False
development,2016-09-17,d6455cb4bee503ce,692241119228cc82,KO/TKO,1,95.0,,3,assumed_three_round_early_finish,False,True,False,False
development,2016-09-24,e18012194473e8b0,fae3f395669b7285,U-DEC,3,900.0,,3,inferred_from_decision_duration,False,True,True,False
development,2016-09-24,e18012194473e8b0,5948876f1d80c21a,KO/TKO,1,60.0,,3,assumed_three_round_early_finish,False,True,False,False
development,2016-09-24,e18012194473e8b0,1afa8d6ae4d8a5b2,U-DEC,3,900.0,,3,inferred_from_decision_duration,False,True,True,False
development,2016-09-24,e18012194473e8b0,0e9b7e682e0a79f1,SUB,3,837.0,,3,assumed_three_round_early_finish,False,True,False,False
development,2016-09-24,e18012194473e8b0,39c16381a9722735,U-DEC,3,900.0,,3,inferred_from_decision_duration,False,True,True,False
development,2016-09-24,e18012194473e8b0,0408a452fb5c3e14,U-DEC,3,900.0,,3,inferred_from_decision_duration,False,True,True,False
development,2016-09-24,e18012194473e8b0,6f2a4a2f769eb9e3,U-DEC,3,900.0,,3,inferred_from_decision_duration,False,True,True,False
development,2016-09-24,e18012194473e8b0,c29b63d6cd2ba413,SUB,1,183.0,,3,assumed_three_round_early_finish,False,True,False,False
development,2016-09-24,e18012194473e8b0,66b8f3426f36fdf7,SUB,1,178.0,,3,assumed_three_round_early_finish,False,True,False,False
development,2016-09-24,e18012194473e8b0,845907142e023077,KO/TKO,3,745.0,,3,assumed_three_round_early_finish,False,True,False,False
development,2016-09-24,e18012194473e8b0,5c5ed0416e881faf,KO/TKO,2,550.0,,3,assumed_three_round_early_finish,False,True,False,False
development,2016-09-24,e18012194473e8b0,50935ae1627fc89b,U-DEC,3,900.0,,3,inferred_from_decision_duration,False,True,True,False
development,2016-09-24,e18012194473e8b0,76c5f66afe6ab192,KO/TKO,2,449.0,,3,assumed_three_round_early_finish,False,True,False,False
development,2016-10-01,a196332ee4aa8a82,98e3b4d05ecc36a2,S-DEC,3,900.0,,3,inferred_from_decision_duration,False,True,True,False
development,2016-10-01,a196332ee4aa8a82,4efbd869aa0211d2,KO/TKO,2,422.0,,3,assumed_three_round_early_finish,False,True,False,False
