date,event_id,fight_id,fighter_id,opponent_id,fighter,opponent,target,evaluation_year,training_start,training_through,selected_c,calibration_slope,baseline_probability,external_history_probability,style_probability,external_style_probability
2022-01-15,f5585e675af7afd4,3738135e4c9d8273,3d074044a33825e7,523fa774700d7d3f,Ramiz Brahimaj,Court McGee,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.57497208217633,0.562767056449296,0.543123569883536,0.532601107338446
2022-01-15,f5585e675af7afd4,3a8c0158d910546d,40093d1d2d78394e,d31cbcdd7d69536d,Charles Rosa,TJ Brown,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.374295991314742,0.379322016601183,0.365360946584632,0.370074357349398
2022-01-15,f5585e675af7afd4,3bcbb0e039f4f5d8,01b352b6a9074d5c,92fa1401b7927da3,Chase Sherman,Jake Collier,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.430719932023563,0.450024559441044,0.383528565633913,0.400391230590846
2022-01-15,f5585e675af7afd4,7c2a02b5ea169b54,35b3772629e27a49,7be14eaed4c74856,Kevin Croom,Brian Kelleher,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.471498726306075,0.483055925329351,0.460094831809018,0.464618708825042
2022-01-15,f5585e675af7afd4,8693027377658e61,791c8437b341fba5,9abc648e76c4493a,Joanderson Brito,Bill Algeo,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.477806636655802,0.47805202278352,0.459186395482033,0.458164293335981
2022-01-15,f5585e675af7afd4,8d89f3b8798f444d,07a2bdaa0afdd831,6e15f63b6c2e2c15,Rogerio Bontorin,Brandon Royval,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.49386020251013,0.485565486396294,0.498606767268848,0.489728770982336
2022-01-15,f5585e675af7afd4,9dfcf675cf2c1575,751de04455cfaac0,9560ff14eb3129f7,Calvin Kattar,Giga Chikadze,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.323917030297761,0.325582571325274,0.317394198075735,0.319737454352542
2022-01-15,f5585e675af7afd4,b5b5156c713c5d47,19c591115a58982c,3033c1c080672475,Viacheslav Borshchev,Dakota Bush,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.498279214267325,0.509481180251939,0.455387131123438,0.46105823176427
2022-01-15,f5585e675af7afd4,e8517ed0b49abc37,830f60497fab345a,8d20d76af3f213ce,Jamie Pickett,Joseph Holmes,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.291360501755849,0.284812857677538,0.314071944493692,0.308218863061854
2022-01-15,f5585e675af7afd4,f9a4e625dffc30d4,8e1f36476ef02a6a,e872e9a9a902c045,Jennifer Maia,Katlyn Cerminara,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.360908788069379,0.360961653249863,0.372905339799121,0.37213674373874
2022-01-22,335ad945324c3a2e,0669231ebe3dd560,6b453bc35a823c3f,776d4262c4da38bf,Jack Della Maddalena,Pete Rodriguez,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.511903580322246,0.512093945147475,0.509498487628006,0.509582648561031
2022-01-22,335ad945324c3a2e,0a0beb5aa9810de4,4100c7a09497ad41,a9e260472d321361,Kay Hansen,Jasmine Jasudavicius,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.705752665945074,0.697500528282507,0.679599326300463,0.672697317464386
2022-01-22,335ad945324c3a2e,4047c2e259529179,2c483cf443f38ece,b4880ef2f838d4e1,Vanessa Demopoulos,Silvana Gomez Juarez,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.500481526477101,0.512420163653612,0.518081523140631,0.527734326611835
2022-01-22,335ad945324c3a2e,44a55ba1de2b30e2,b9f28e7045fdfce7,eb8d8c2a95cfccb8,Raoni Barcelos,Victor Henry,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.751490164011923,0.761398938013589,0.727973842386186,0.738499419621162
